,B1,B2,B3,B4,B5,B6,B7,date
813,752.0,944.0,1620.0,2273.0,3828.0,3797.0,2943.0,2.0
814,937.5,1226.5,2017.5,2845.0,4162.5,4586.5,3383.0,2.0
815,489.0,595.0,1034.0,1437.0,2186.0,2685.0,2085.0,2.0
816,982.5,1223.0,2045.5,3296.0,4338.0,5151.0,4097.0,2.0
817,802.0,1126.5,1911.0,2793.0,4187.5,4798.5,3922.0,2.0
818,1184.0,1475.0,2443.0,3695.0,4826.0,5872.0,4618.0,2.0
819,894.0,1127.0,1984.5,3128.5,4412.0,5036.5,3881.5,2.0
820,651.0,827.5,1328.5,1739.0,2559.0,2829.0,2005.5,2.0
821,1111.0,1375.0,2087.0,2727.0,3510.0,4089.0,3128.0,2.0
822,1096.0,1364.5,2082.0,2786.0,3530.0,4071.0,3002.0,2.0
823,846.0,1051.0,1651.0,2208.0,3026.0,3363.0,2453.0,2.0
824,560.5,713.5,1072.5,1438.0,2215.0,2960.0,2357.0,2.0
825,687.0,860.0,1446.0,1895.0,3485.0,3481.0,2769.0,2.0
826,1001.0,1266.0,1991.0,2812.0,3831.5,4460.0,3505.5,2.0
827,696.0,856.0,1330.0,1851.0,2447.0,3344.0,2726.0,2.0
828,574.0,699.0,930.0,1119.0,1505.0,2360.0,2047.0,2.0
829,1020.5,1235.0,1713.5,2086.5,2765.0,3904.0,3425.5,2.0
830,913.0,1190.0,1748.5,2093.5,3426.5,3840.5,3159.5,2.0
831,642.0,831.0,1199.5,1463.5,1991.5,2971.5,2500.0,2.0
832,551.0,718.0,1256.0,1643.0,2439.0,2834.0,2027.0,2.0
833,764.0,1010.0,1757.0,2205.0,3838.0,4048.0,3090.0,2.0
834,1080.0,1458.5,2301.0,3124.5,4427.0,5135.5,3676.5,2.0
835,495.0,634.0,1216.0,1492.0,2794.0,2977.0,2046.0,2.0
836,908.5,1144.0,1849.0,2647.5,3607.5,4551.5,3782.5,2.0
837,830.0,1160.0,1936.5,2472.5,4052.5,4354.0,3521.0,2.0
838,1076.0,1349.0,2150.0,3038.0,4164.0,4992.0,3931.0,2.0
839,670.0,856.0,1386.0,1861.5,3555.5,3724.5,2795.5,2.0
840,600.0,735.0,1303.0,1781.5,3581.5,3275.5,2461.5,2.0
841,548.5,752.0,1236.0,1650.5,3708.0,2999.5,1988.0,2.0
842,1005.0,1306.0,2018.0,2852.0,3835.0,4703.0,3690.0,2.0
843,799.0,990.0,1478.0,2007.0,3208.0,3809.0,3022.0,2.0
844,774.0,959.0,1509.0,2214.0,3027.5,4190.5,3520.0,2.0
845,749.5,1019.5,1659.0,2225.0,3543.0,4016.0,3346.5,2.0
846,875.0,1079.0,1718.0,2524.0,3309.0,4493.0,3746.0,2.0
847,669.0,833.0,1351.5,1973.0,2690.0,3649.0,3059.0,2.0
848,456.5,603.5,921.0,1178.0,2014.0,2609.0,1982.0,2.0
849,688.0,953.0,1577.0,2024.0,3271.0,4020.0,3430.0,2.0
850,1021.0,1300.5,2071.0,2811.5,4052.0,5065.5,4210.0,2.0
851,402.0,592.0,1050.0,1338.0,2537.0,2550.0,1976.0,2.0
852,316.0,423.0,621.0,799.0,1576.0,2128.0,1435.0,2.0
853,653.0,817.0,1471.0,2296.0,3082.0,3856.0,3307.0,2.0
854,994.0,1165.5,1823.5,2715.0,3723.5,4353.5,3618.5,2.0
855,295.0,357.0,709.0,919.0,2066.0,1941.0,1307.0,2.0
856,446.0,627.0,964.5,1137.0,1989.0,1851.5,1361.0,2.0
857,806.0,1011.0,1629.0,1838.0,3203.0,3238.0,2547.0,2.0
858,1026.0,1350.0,1884.0,2219.0,3350.0,3936.0,3053.0,2.0
859,598.0,751.5,1053.0,1214.5,2035.5,2430.0,1769.5,2.0
860,487.0,626.0,1037.5,1459.5,2074.5,3025.0,2331.5,2.0
861,727.0,990.0,1747.0,2140.0,3371.0,4085.0,3299.0,2.0
862,790.5,1001.5,1686.0,2408.0,3165.5,4143.5,3240.5,2.0
863,484.0,655.0,1275.0,1803.0,2573.0,3622.0,2697.0,2.0
864,347.0,444.0,681.0,928.0,1714.0,2754.0,2155.0,2.0
865,430.0,527.0,936.0,1489.0,2223.0,3551.0,3150.0,2.0
866,634.5,754.0,1249.5,1895.5,2794.5,4000.0,3429.0,2.0
867,354.0,433.0,832.0,1047.0,2540.0,2706.0,1967.0,2.0
868,667.0,823.0,1394.5,2142.5,3041.0,4148.5,3530.0,2.0
869,720.0,991.0,1691.0,2384.0,3702.0,4470.0,3865.0,2.0
870,1005.5,1272.0,2099.0,3135.0,4094.0,5338.5,4540.5,2.0
871,701.0,893.0,1628.0,2287.0,3797.0,4245.0,3290.0,2.0
872,554.5,713.0,1181.5,1843.0,2691.5,3192.0,2618.0,2.0
873,716.5,1030.5,1781.5,2431.0,3834.0,3905.5,3251.0,2.0
874,1043.0,1307.0,2094.0,3144.0,4249.0,5142.0,4273.0,2.0
875,571.0,729.0,1243.0,1817.0,2855.0,3458.5,2683.0,2.0
876,562.5,666.0,904.0,1200.5,2155.5,2966.0,2323.5,2.0
877,2288.0,2412.0,2721.0,2883.0,4377.0,4038.0,3364.0,2.0
878,759.0,923.0,1327.0,1852.0,2945.0,3670.0,2568.0,2.0
879,672.0,816.0,1338.0,1801.0,3090.0,3774.0,2935.0,2.0
880,1047.5,1272.0,1937.5,2396.5,4374.5,3967.0,3257.0,2.0
881,703.5,981.5,1658.0,2340.0,4801.5,3565.0,2232.5,2.0
882,1298.0,1825.0,2710.0,3895.0,5329.0,5563.0,4070.0,2.0
883,1428.0,1699.0,2461.0,3245.0,4094.0,4980.0,4584.0,2.0
884,505.0,583.5,867.5,1268.0,1888.5,3105.0,2685.5,2.0
885,543.0,672.0,1188.0,2000.5,2980.5,4608.5,3980.5,2.0
886,667.0,817.5,1430.5,2385.0,3440.5,4976.5,4149.0,2.0
887,451.0,603.0,1160.0,1908.0,3182.0,4293.0,3468.0,2.0
888,833.0,1031.0,1636.5,2322.5,3324.0,4332.0,3632.0,2.0
889,670.0,884.0,1429.0,1708.0,4048.0,3682.0,2642.0,2.0
890,891.0,1147.0,1813.0,2535.0,4135.0,4592.0,3421.0,2.0
891,777.5,1003.0,1515.5,2016.5,3085.0,3951.0,3258.5,2.0
892,896.5,1080.5,1483.5,1846.5,2456.5,2869.0,2462.5,2.0
893,1029.5,1286.5,1844.0,2268.0,3778.0,4012.5,3251.5,2.0
894,1183.0,1443.0,2084.0,2695.0,3643.0,4464.0,3421.0,2.0
895,838.0,1049.0,1547.0,1912.0,2695.0,3283.0,2645.0,2.0
896,486.5,629.0,1086.5,1655.0,2301.5,3046.0,2735.0,2.0
897,580.0,745.0,1244.0,1581.0,3469.0,3026.0,2263.0,2.0
