Point_ID,Coarse,Clay,Sand,Silt,pH_CaCl2,pH_H20,EC,OC,CaCO3,P,N,K,LC,LU,NUTS_0,NUTS_1,NUTS_2,NUTS_3,LC0_Desc,LC1_Desc,LU1_Desc,x,y
"38862448",,,,,4.80,5.27,8.43,20.60,"0",48.50,1.90,127.30,E20,U420,FR,FRK,FRK2,FRK22,Grassland,Grassland without tree/shrub cover,Semi-natural and natural areas not in use,4.4869135580,44.9991004000
"38862478",,,,,3.40,3.97,22.10,133.40,"1",36.60,8.10,93.40,C23,U120,FR,FRK,FRK2,FRK25,Woodland,Other coniferous woodland,Forestry,4.4600582390,45.2686491700
"38862658",,,,,3.90,4.40,26.90,85.00,"1",47.50,6.70,195.70,C33,U120,FR,FRC,FRC1,FRC13,Woodland,Other mixed woodland,Forestry,4.2914788000,46.8847486000
"38862780",,,,,7.30,7.74,31.70,33.70,"110",28.50,3.70,352.40,B32,U111,FR,FRF,FRF2,FRF22,Cropland,Rape and turnip rape,Agriculture (excluding fallow land and kitchen gardens),4.1694509180,47.9790404500
"38862856",,,,,7.50,7.87,25.70,11.80,"688",51.30,2.20,278.40,B22,U111,FR,FRF,FRF2,FRF22,Cropland,Sugar beet,Agriculture (excluding fallow land and kitchen gardens),4.0900025790,48.6603408100
"38862874",,,,,7.40,7.95,25.70,3.20,"976",42.50,2.50,241.00,B11,U111,FR,FRF,FRF2,FRF23,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),4.0707820520,48.8216604500
"38862888",,,,,7.40,7.75,29.90,27.00,"699",39.00,2.80,237.40,B52,U111,FR,FRF,FRF2,FRF23,Cropland,Lucerne,Agriculture (excluding fallow land and kitchen gardens),4.0557233230,48.9471208100
"38863036",,,,,4.80,5.05,60.30,25.60,"0",43.10,3.20,134.60,E20,U111,FR,FRE,FRE1,FRE11,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),3.8904376460,50.2728883300
"38863068",,,,,6.80,7.12,15.60,12.30,"1",65.50,1.40,215.10,B11,U111,BE,BE3,BE32,BE323,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),3.8531719760,50.5594223900
"38882270",,,,,8.70,8.75,2.17,7.30,"374",17.30,1.60,1126.80,G12,U420,FR,FRL,FRL0,FRL04,Water,Inland salty water bodies,Semi-natural and natural areas not in use,4.6640749790,43.3997754200
"38882308",,,,,7.50,7.87,25.40,15.00,"438",33.90,2.30,276.80,B31,U111,FR,FRL,FRL0,FRL04,Cropland,Sunflower,Agriculture (excluding fallow land and kitchen gardens),4.6325835180,43.7416798000
"38882368","9","12","57","30",7.20,7.84,9.73,7.00,"5",17.70,0.80,155.90,B82,U111,FR,FRJ,FRJ1,FRJ12,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens),4.5818427220,44.2813124800
"38882416","36","22","16","63",6.30,6.47,28.30,76.10,"1",24.60,7.50,479.90,C10,U420,FR,FRK,FRK2,FRK22,Woodland,Broadleaved woodland,Semi-natural and natural areas not in use,4.5403275240,44.7128342400
"38882480","31","7","61","31",3.80,4.24,41.70,91.80,"0",107.10,8.10,879.90,C10,U111,FR,FRK,FRK2,FRK25,Woodland,Broadleaved woodland,Agriculture (excluding fallow land and kitchen gardens),4.4836548710,45.2879519000
"38882488","50","15","31","54",4.20,4.56,39.50,68.10,"1",23.70,4.90,109.00,C23,U120,FR,FRK,FRK2,FRK25,Woodland,Other coniferous woodland,Forestry,4.4764622710,45.3598225100
"38882512",,,,,3.40,4.08,8.37,80.80,"0",15.70,3.90,141.70,C10,U120,FR,FRK,FRK2,FRK25,Woodland,Broadleaved woodland,Forestry,4.4547370050,45.5754095100
"38882614",,,,,5.10,5.72,18.05,19.80,"0",20.80,2.50,69.00,E20,U111,FR,FRC,FRC1,FRC13,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),4.3598694950,46.4912524600
"38882650",,,,,4.80,5.26,31.20,43.90,"0",35.20,4.70,94.50,E20,U111,FR,FRC,FRC1,FRC13,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),4.3253742400,46.8143423600
