,Point_ID,LC,LC0_Desc,LC1_Desc,LU1_Desc,x,y,system:index,B1,B1_1,B1_10,B1_11,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B2,B2_1,B2_10,B2_11,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B3,B3_1,B3_10,B3_11,B3_3,B3_4,B3_5,B3_6,B3_7,B3_8,B3_9,B4,B4_1,B4_10,B4_11,B4_3,B4_4,B4_5,B4_6,B4_7,B4_8,B4_9,B5,B5_1,B5_10,B5_11,B5_3,B5_4,B5_5,B5_6,B5_7,B5_8,B5_9,B6,B6_1,B6_10,B6_11,B6_3,B6_4,B6_5,B6_6,B6_7,B6_8,B6_9,B7,B7_1,B7_10,B7_11,B7_3,B7_4,B7_5,B7_6,B7_7,B7_8,B7_9,.geo
346,28261904,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),-7.23712629,38.69174635,00000000000000003a31,331.0,476.0,3673.0,988.0,,685.5,841.0,889.0,1202.0,,811.0,654.0,798.0,3904.0,1137.0,,979.0,1244.0,1350.0,1656.0,,1126.0,513.0,711.0,4019.0,1036.0,,1238.5,1793.0,1974.0,2275.5,,1492.0,3684.0,3519.0,5018.0,3158.0,,2885.5,2780.0,3083.5,3418.0,,2230.0,2019.0,2508.0,4740.0,1744.0,,3232.5,4537.0,4727.5,4696.5,,4266.0,2813.0,2870.0,2807.0,2753.0,,3078.5,3214.0,3186.0,3003.0,,3039.0,893.0,1340.0,4007.0,1118.0,,2005.0,3137.0,3152.0,3026.0,,2902.0,"{""type"":""Point"",""coordinates"":[-7.23712629,38.69174635]}"
367,28302282,F10,Bareland,Rocks and stones,Semi-natural and natural areas not in use,-8.1337802,42.01639762,00000000000000003a46,431.5,432.0,,493.0,,499.0,482.0,10351.0,435.5,829.0,346.0,502.0,476.0,,568.0,,692.0,707.5,10465.5,604.0,903.0,429.0,482.5,539.0,,597.0,,781.0,753.5,10454.5,643.5,1004.0,446.0,1391.5,1563.0,,1320.0,,2147.0,2280.0,5328.5,2143.0,2000.0,1636.0,1111.5,1313.0,,1283.0,,2114.0,2196.0,3892.0,2019.0,2040.5,1477.0,2789.5,2790.0,,2772.0,,3000.0,2992.5,2885.5,2997.5,2889.0,2875.0,637.5,743.0,,779.0,,1276.0,1284.0,2535.5,1126.0,1248.5,703.0,"{""type"":""Point"",""coordinates"":[-8.1337802,42.01639762]}"
388,28361904,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),-7.12489953,38.71205135,00000000000000003a5b,,,3364.0,916.0,,628.5,678.0,671.0,738.0,,568.0,,,3656.0,1070.0,,1048.0,1141.0,1201.5,1207.0,,922.0,,,3799.0,1229.0,,1421.5,1576.0,1704.5,1688.0,,1246.0,,,4455.0,2499.0,,2813.5,2848.0,2903.5,2960.0,,2055.0,,,4368.0,1882.0,,3119.5,3052.0,3206.5,2899.0,,2636.0,,,2819.0,2784.0,,3099.5,3171.0,3167.0,3034.0,,3029.0,,,3669.0,1529.0,,2355.5,2374.0,2625.5,2353.0,,2184.0,"{""type"":""Point"",""coordinates"":[-7.12489953,38.71205135]}"
461,28542192,F10,Bareland,Rocks and stones,Semi-natural and natural areas not in use,-7.61764414,41.27974826,00000000000000003aa4,1208.5,1117.0,,579.0,,587.0,2756.0,725.0,702.0,639.0,539.0,1339.0,1244.5,,811.0,,812.0,2786.0,911.0,940.0,894.0,770.0,1345.0,1346.5,,899.0,,974.0,2847.0,1158.0,1178.0,1099.5,892.0,2370.0,2363.5,,2002.0,,2002.0,3616.0,1979.0,1884.0,1738.5,1697.0,2573.0,2813.0,,2398.0,,2902.0,1812.0,3380.0,3383.0,3234.5,2847.0,2716.5,2735.5,,2784.0,,3022.0,2585.0,3081.0,3100.0,3009.5,2908.0,1745.0,2074.5,,1616.0,,2117.0,1492.0,2527.0,2527.0,2469.0,2105.0,"{""type"":""Point"",""coordinates"":[-7.61764414,41.27974826]}"
540,28741912,F40,Bareland,Other bare soil,Fallow land,-6.71598534,38.85858578,00000000000000003af3,558.0,515.0,634.5,782.0,550.0,624.0,734.0,794.0,975.0,773.0,721.0,828.5,840.0,1046.0,1061.0,944.0,1112.5,1240.0,1407.0,1474.0,1250.0,1160.0,1092.0,1122.0,1334.5,1235.0,1240.0,1480.5,1624.0,1774.0,1779.0,1595.0,1553.0,1999.5,2023.0,2174.0,1889.0,1973.0,2858.5,2818.0,2838.0,2847.0,2927.5,2578.0,2120.5,2165.0,2606.5,1960.0,2438.0,2594.5,3056.0,2868.0,2729.0,2744.0,2839.0,2813.0,2886.0,2902.0,2819.0,3039.0,3072.0,3123.0,3109.0,3029.0,3041.5,2970.0,1524.5,1540.0,1974.5,1203.0,1930.0,1900.5,2479.0,2245.0,2046.0,1946.0,2100.0,"{""type"":""Point"",""coordinates"":[-6.71598534,38.85858578]}"
554,28761906,F40,Bareland,Other bare soil,Fallow land,-6.6799167,38.80960861,00000000000000003b01,451.5,517.0,540.0,696.0,601.0,663.5,711.0,813.0,1241.0,752.0,691.0,731.0,841.0,844.0,1001.0,972.0,1113.5,1160.0,1295.0,1638.5,1157.0,1092.0,578.0,1233.0,1350.0,1161.5,1466.0,1687.5,1745.0,1962.5,2127.0,1716.0,1675.0,3787.5,2124.0,1837.5,2234.0,2094.0,2345.5,2301.0,2575.0,2739.0,2252.0,2184.0,1888.0,3084.0,2847.5,2125.0,3147.0,3441.5,3443.0,3707.0,3446.5,3435.0,3365.0,2824.5,2875.0,2936.5,2824.5,3058.0,3109.0,3206.0,3147.0,2976.5,3067.0,3005.0,789.5,2089.0,2262.0,1452.5,2656.0,2803.5,2842.0,2990.0,2809.5,2779.0,2688.0,"{""type"":""Point"",""coordinates"":[-6.6799167,38.80960861]}"
567,28782118,F40,Bareland,Other bare soil,Fallow land,-7.15456621,40.67997882,00000000000000003b0e,2135.5,635.0,5414.0,4239.0,,820.0,1108.0,1027.0,1161.0,1033.0,929.0,2440.5,902.0,5386.0,4249.0,,1131.0,1702.0,1588.0,1591.0,1462.0,1395.0,2591.5,990.0,5427.0,4332.0,,1182.0,2206.0,2074.0,1949.0,1940.0,1677.0,3789.5,2716.0,5456.0,4770.0,,3353.0,3357.0,2863.0,3194.0,2921.0,3311.0,3320.0,2575.0,4513.0,3968.0,,2729.0,4413.0,4251.0,4389.0,4170.0,3264.0,2725.0,2813.0,2741.0,2728.0,,2924.0,3171.0,3086.0,3058.0,3039.0,2918.0,2504.5,1505.0,3622.0,3211.0,,1704.0,3562.0,3500.0,3624.0,3445.0,2456.0,"{""type"":""Point"",""coordinates"":[-7.15456621,40.67997882]}"
611,28901850,F40,Bareland,Other bare soil,Fallow land,-6.39840066,38.34255565,00000000000000003b3a,608.0,,555.0,649.0,817.0,882.0,1150.0,1099.0,1684.5,1053.0,,871.0,,935.0,820.0,1314.0,1466.0,1844.0,1782.0,2125.0,1654.0,,1190.5,,1191.0,899.0,1872.0,2104.0,2713.0,2535.0,2529.5,2307.0,,1914.0,,2389.0,2733.0,2658.0,2871.0,3410.0,3122.0,2999.5,2885.5,,2551.5,,2737.0,1567.0,3851.0,4057.0,5091.0,4700.0,2845.0,4259.5,,2836.0,,2918.0,2819.0,3020.0,3095.0,3176.0,3158.0,2865.0,3084.0,,1946.0,,1913.0,957.0,3271.0,3544.0,4512.0,3963.0,2374.5,3601.5,,"{""type"":""Point"",""coordinates"":[-6.39840066,38.34255565]}"
624,28921858,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),-6.39356076,38.41711369,00000000000000003b47,564.0,648.5,543.0,550.0,,751.0,863.0,1101.0,1447.5,1010.5,823.0,980.0,955.0,888.0,762.5,,1211.0,1432.0,1810.0,1902.5,1572.0,1225.0,1250.0,1321.5,1316.0,1021.0,,1744.0,2132.0,2609.0,2337.5,2315.0,1754.0,2073.0,2267.0,1873.0,1867.0,,3207.5,3299.0,3617.0,3124.5,3140.5,2641.0,2473.0,2723.0,2783.0,1997.0,,2970.0,3775.0,4303.0,2861.0,3912.0,3419.0,2853.0,2870.0,2908.0,2866.5,,3050.5,3136.0,3141.0,2892.5,3081.5,3044.0,1788.0,2100.5,2356.0,1504.5,,2008.5,2758.0,3073.0,2097.5,3012.5,2583.0,"{""type"":""Point"",""coordinates"":[-6.39356076,38.41711369]}"
674,29021750,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),-6.05075702,37.48089123,00000000000000003b79,752.0,634.0,742.0,664.0,563.0,761.0,1339.0,1071.5,506.0,969.0,,1124.0,894.0,1082.0,874.0,731.5,1139.0,2115.0,1647.0,706.0,1352.0,,1139.5,915.0,1254.5,1005.0,648.5,1649.0,2973.0,2144.0,747.0,1712.5,,1919.5,2090.0,2045.5,1360.0,3095.5,2543.0,3870.0,2532.5,856.0,2125.0,,2463.5,2280.0,2669.0,1846.0,1626.5,2763.0,4357.5,3408.0,1105.0,2925.0,,2850.0,2892.0,2933.5,2847.0,2917.5,3058.0,3147.0,3176.0,3044.0,3046.0,,1589.0,1256.0,1758.0,1069.0,794.0,1615.0,2903.5,2386.0,821.0,2004.5,,"{""type"":""Point"",""coordinates"":[-6.05075702,37.48089123]}"
